millis;micros;d1;d2;accx;accy;accz;hgx;hgy;hgz;gyrox;gyroy;gyroz
12965;12966424;6380512;8443872;-0.044;1.048;-0.288;0.164;0.5125;-0.123;-1;-1;-1
12976;12976904;6382560;8444384;-0.06;1.044;-0.252;0.246;0.41;-0.1435;-1;-1;-1
12988;12989096;6385632;8444384;-0.044;1.04;-0.268;0.2665;0.5125;-0.0615;-1;-1;-1
13000;13001328;6377440;8444384;-0.064;1.04;-0.28;0.164;0.4715;-0.1435;-1;-1;-1
13012;13013536;6382560;8444384;-0.056;1.044;-0.268;0.164;0.492;-0.041;-1;-1;-1
13023;13023952;6383072;8444384;-0.052;1.052;-0.256;0.205;0.533;-0.1435;-1;-1;-1
13035;13036152;6384608;8444384;-0.048;1.036;-0.264;0.1435;0.4715;-0.123;-1;-1;-1
13047;13048408;6381536;8444384;-0.056;1.04;-0.26;0.164;0.533;-0.123;-1;-1;-1
13058;13058896;6382048;8444384;-0.06;1.056;-0.236;0.246;0.5535;-0.164;-1;-1;-1
13070;13071968;6382560;8443872;-0.06;1.06;-0.268;0.164;0.5125;-0.164;-1;-1;-1
13082;13083296;6378976;8443872;-0.052;1.04;-0.276;0.164;0.451;0.0205;-1;-1;-1
13094;13095480;6382560;8443872;-0.052;1.044;-0.28;0.1845;0.5535;-0.041;-1;-1;-1
13105;13105944;6383072;8443872;-0.048;1.036;-0.272;0.1845;0.533;-0.1025;-1;-1;-1
13117;13118152;6377952;8443872;-0.064;1.048;-0.276;0.205;0.4305;-0.0615;-1;-1;-1
13129;13130352;6381024;8443872;-0.044;1.04;-0.272;0.246;0.5125;-0.1435;-1;-1;-1
13142;13142560;6382560;8443872;-0.056;1.064;-0.3;0.1845;0.4715;-0.082;-1;-1;-1
13154;13154760;6382048;8443872;-0.048;1.036;-0.272;0.123;0.5125;-0.1845;-1;-1;-1
13166;13166952;6382560;8443872;-0.048;1.04;-0.276;0.123;0.5125;-0.0205;-1;-1;-1
13178;13179144;6384608;8443872;-0.06;1.052;-0.268;0.205;0.533;-0.082;-1;-1;-1
13189;13189624;6382560;8443872;-0.056;1.04;-0.272;0.164;0.492;-0.082;-1;-1;-1
13201;13201816;6381024;8443872;-0.048;1.036;-0.264;0.205;0.451;-0.1025;-1;-1;-1
13213;13214016;6386144;8443872;-0.068;1.056;-0.276;0.164;0.451;-0.1435;-1;-1;-1
13225;13226208;6385632;8443872;-0.064;1.048;-0.272;0.164;0.5125;-0.1845;-1;-1;-1
13236;13236640;6381024;8443872;-0.052;1.016;-0.256;0.164;0.41;-0.164;-1;-1;-1
13248;13248888;6381536;8443872;-0.056;1.052;-0.28;0.164;0.4305;-0.123;-1;-1;-1
13260;13261144;6383072;8443872;-0.04;1.044;-0.272;0.205;0.4715;-0.1025;-1;-1;-1
13271;13271608;6381024;8443872;-0.052;1.056;-0.26;0.123;0.533;-0.1845;-1;-1;-1
13283;13283840;6381024;8443872;-0.064;1.048;-0.264;0.2255;0.41;-0.205;-1;-1;-1
13295;13296056;6386656;8443872;-0.064;1.068;-0.276;0.205;0.5535;-0.1845;-1;-1;-1
13307;13308280;6386656;8443872;-0.072;1.08;-0.292;0.164;0.492;-0.1435;-1;-1;-1
13318;13318728;6380000;8443872;-0.048;1.04;-0.26;0.041;0.656;-0.041;-1;-1;-1
13330;13330928;6381024;8443872;-0.064;1.052;-0.268;0.2255;0.5535;-0.041;-1;-1;-1
13342;13343136;6385632;8443872;-0.056;1.044;-0.26;0.205;0.4305;-0.246;-1;-1;-1
13355;13355328;6380512;8443872;-0.056;1.048;-0.284;0.1435;0.4715;-0.164;-1;-1;-1
13367;13367536;6384096;8443872;-0.056;1.052;-0.292;0.2255;0.451;-0.123;-1;-1;-1
13379;13379768;6383584;8443872;-0.048;1.048;-0.28;0.246;0.492;-0.164;-1;-1;-1
13391;13391960;6382048;8443872;-0.052;1.044;-0.26;0.164;0.5535;-0.123;-1;-1;-1
13402;13402440;6380000;8443872;-0.044;1.044;-0.272;0.164;0.533;-0.164;-1;-1;-1
13414;13414656;6380000;8443872;-0.044;1.048;-0.276;0.164;0.492;-0.082;-1;-1;-1
13426;13426848;6385632;8443872;-0.056;1.052;-0.292;0.1025;0.5535;-0.123;-1;-1;-1
13438;13439096;6380000;8443872;-0.056;1.056;-0.24;0.1845;0.5535;-0.041;-1;-1;-1
13449;13449576;6380512;8443872;-0.056;1.056;-0.272;0.1845;0.4305;-0.1435;-1;-1;-1
13461;13461760;6381024;8443872;-0.068;1.06;-0.316;0.205;0.4715;-0.123;-1;-1;-1
13473;13473960;6381536;8443872;-0.068;1.068;-0.264;0.1845;0.451;-0.0615;-1;-1;-1
13484;13484440;6380512;8443360;-0.044;1.032;-0.272;0.1845;0.5535;-0.082;-1;-1;-1
13496;13496624;6384096;8443360;-0.064;1.036;-0.276;0.205;0.451;-0.1025;-1;-1;-1
13508;13508784;6378976;8443360;-0.052;1.044;-0.272;0.1435;0.492;-0.1845;-1;-1;-1
13520;13521008;6383072;8443360;-0.06;1.048;-0.284;0.205;0.492;-0.1435;-1;-1;-1
13531;13531448;6379488;8443360;-0.036;1.036;-0.284;0.205;0.451;-0.1435;-1;-1;-1
13543;13543648;6380512;8443360;-0.056;1.048;-0.244;0.1435;0.5125;-0.123;-1;-1;-1
13555;13555856;6382560;8443360;-0.048;1.048;-0.264;0.205;0.492;-0.205;-1;-1;-1
13568;13568088;6382048;8443360;-0.056;1.056;-0.284;0.164;0.492;-0.123;-1;-1;-1
13580;13580360;6385120;8442848;-0.056;1.04;-0.28;0.2255;0.4715;-0.246;-1;-1;-1
13592;13593440;6381536;8442848;-0.04;1.044;-0.284;0.205;0.451;-0.1435;-1;-1;-1
13604;13605592;6384096;8442848;-0.048;1.048;-0.304;0.2255;0.5125;-0.287;-1;-1;-1
13615;13615216;6382048;8442848;-0.032;1.048;-0.288;0.1435;0.4715;-0.164;-1;-1;-1
13627;13628280;6383584;8442848;-0.056;1.056;-0.288;0.205;0.492;-0.164;-1;-1;-1
13639;13640464;6381024;8442848;-0.052;1.056;-0.268;0.1025;0.5125;-0.123;-1;-1;-1
13651;13652664;6383584;8442848;-0.048;1.04;-0.276;0.205;0.4715;-0.1845;-1;-1;-1
13662;13662280;6379488;8442848;-0.056;1.048;-0.256;0.123;0.5125;-0.123;-1;-1;-1
13674;13675328;6384608;8442848;-0.048;1.084;-0.264;0.287;0.4715;-0.1435;-1;-1;-1
13686;13687568;6384608;8442336;-0.064;1.048;-0.3;0.1025;0.4715;-0.164;-1;-1;-1
13697;13697200;6386656;8442336;-0.052;1.044;-0.284;0.164;0.492;-0.1025;-1;-1;-1
13709;13709408;6384096;8442336;-0.052;1.052;-0.268;0.1025;0.4715;-0.123;-1;-1;-1
13721;13722472;6382560;8442336;-0.048;1.044;-0.288;0.164;0.492;-0.205;-1;-1;-1
13733;13734640;6385632;8442336;-0.06;1.048;-0.28;0.1845;0.451;-0.0205;-1;-1;-1
13744;13744240;6382560;8442336;-0.048;1.04;-0.272;0.205;0.3895;-0.0615;-1;-1;-1
13756;13757304;6384608;8442336;-0.056;1.036;-0.28;0.205;0.4715;-0.1025;-1;-1;-1
13768;13769496;6383072;8442336;-0.06;1.052;-0.288;0.2255;0.369;-0.1025;-1;-1;-1
13780;13781728;6381536;8442336;-0.06;1.06;-0.256;0.123;0.5125;-0.2665;-1;-1;-1
13791;13791344;6380512;8442336;-0.064;1.044;-0.296;0.1845;0.4715;-0.1435;-1;-1;-1
13803;13803576;6376928;8442336;-0.06;1.064;-0.296;0.1845;0.4715;-0.3075;-1;-1;-1
13815;13816640;6378464;8442336;-0.052;1.04;-0.268;0.2665;0.492;-0.164;-1;-1;-1
13826;13826248;6381536;8442336;-0.072;1.056;-0.272;0.1435;0.492;-0.082;-1;-1;-1
13838;13838424;6380512;8442336;-0.06;1.052;-0.276;0.205;0.4715;-0.1025;-1;-1;-1
13850;13851464;6380512;8442336;-0.052;1.048;-0.284;0.1845;0.492;-0.0615;-1;-1;-1
13862;13863672;6381024;8442336;-0.064;1.06;-0.26;0.2255;0.4305;-0.123;-1;-1;-1
13873;13873320;6382560;8442336;-0.056;1.044;-0.264;0.123;0.492;-0.1435;-1;-1;-1
13885;13885488;6378464;8442336;-0.056;1.052;-0.276;0.1845;0.492;-0.1845;-1;-1;-1
13897;13898608;6381536;8441824;-0.052;1.048;-0.288;0.2255;0.41;-0.1025;-1;-1;-1
13910;13910760;6377952;8441824;-0.056;1.044;-0.272;0.1435;0.451;-0.123;-1;-1;-1
13922;13922968;6384096;8441824;-0.048;1.048;-0.284;0.205;0.4715;-0.041;-1;-1;-1
13934;13935176;6382048;8441824;-0.04;1.028;-0.284;0.2665;0.492;-0.123;-1;-1;-1
13946;13947376;6379488;8441824;-0.056;1.056;-0.272;0.1845;0.5125;-0.1025;-1;-1;-1
13957;13957800;6382560;8441824;-0.06;1.06;-0.288;0.1845;0.492;-0.164;-1;-1;-1
13969;13970000;6384096;8441824;-0.056;1.04;-0.272;0.1845;0.5125;-0.123;-1;-1;-1
13981;13982224;6386144;8441824;-0.048;1.044;-0.272;0.246;0.492;-0.041;-1;-1;-1
13993;13994440;6385632;8441312;-0.048;1.032;-0.28;0.123;0.5125;-0.1025;-1;-1;-1
14004;14004920;6386144;8441312;-0.056;1.048;-0.296;0.205;0.492;-0.041;-1;-1;-1
14016;14017128;6385632;8441312;-0.052;1.044;-0.252;0.123;0.492;-0.082;-1;-1;-1
14028;14029288;6381536;8441312;-0.052;1.044;-0.292;0.123;0.4715;-0.1025;-1;-1;-1
14039;14039704;6380512;8441312;-0.044;1.044;-0.288;0.123;0.492;0;-1;-1;-1
14051;14051936;6383584;8441312;-0.052;1.044;-0.276;0.164;0.492;-0.164;-1;-1;-1
14063;14064112;6382560;8441312;-0.036;1.036;-0.288;0.1435;0.5535;-0.123;-1;-1;-1
14075;14076304;6382560;8441312;-0.052;1.044;-0.276;0.123;0.533;-0.1025;-1;-1;-1
14086;14086800;6385632;8441312;-0.052;1.048;-0.28;0.287;0.492;-0.287;-1;-1;-1
14098;14099064;6380512;8440800;-0.048;1.044;-0.252;0.2255;0.4715;-0.1845;-1;-1;-1
14110;14111288;6380000;8440800;-0.052;1.04;-0.268;0.205;0.492;-0.123;-1;-1;-1
14123;14123480;6384608;8440800;-0.032;1.036;-0.284;0.2255;0.5125;-0.123;-1;-1;-1
14135;14135704;6381536;8440800;-0.048;1.056;-0.284;0.1845;0.492;-0.164;-1;-1;-1
14147;14147912;6381536;8440800;-0.056;1.052;-0.268;0.205;0.4715;0;-1;-1;-1
14159;14160096;6381536;8440800;-0.052;1.048;-0.264;0.164;0.533;-0.123;-1;-1;-1
14170;14170592;6384608;8440800;-0.056;1.064;-0.268;0.082;0.5535;-0.0615;-1;-1;-1
14182;14182832;6386144;8440800;-0.052;1.048;-0.288;0.1435;0.533;-0.1435;-1;-1;-1
14194;14195080;6380512;8440288;-0.056;1.044;-0.28;0.205;0.4305;-0.1025;-1;-1;-1
14206;14207288;6381536;8440288;-0.04;1.036;-0.28;0.123;0.4715;-0.164;-1;-1;-1
14217;14217728;6385632;8440288;-0.06;1.048;-0.28;0.164;0.492;-0.1435;-1;-1;-1
14229;14229944;6382560;8440288;-0.04;1.036;-0.284;0.164;0.4715;-0.1435;-1;-1;-1
14241;14242152;6380512;8440288;-0.068;1.056;-0.284;0.2255;0.5125;-0.164;-1;-1;-1
14252;14252600;6384608;8440288;-0.052;1.056;-0.292;0.123;0.451;-0.041;-1;-1;-1
14264;14264800;6380512;8440288;-0.052;1.052;-0.292;0.164;0.451;-0.1435;-1;-1;-1
14276;14276984;6386144;8440288;-0.048;1.032;-0.256;0.246;0.4715;-0.1025;-1;-1;-1
14288;14289216;6384096;8440288;-0.036;1.048;-0.28;0.205;0.451;-0.123;-1;-1;-1
14299;14299648;6385632;8439776;-0.06;1.044;-0.284;0.205;0.492;-0.082;-1;-1;-1
14311;14311888;6386144;8439776;-0.056;1.036;-0.296;0.1845;0.5125;-0.041;-1;-1;-1
14323;14324128;6380512;8439776;-0.048;1.036;-0.264;0.2255;0.451;-0.123;-1;-1;-1
14336;14336360;6383072;8439776;-0.06;1.06;-0.268;0.164;0.492;-0.1845;-1;-1;-1
14348;14348520;6384608;8439776;-0.056;1.036;-0.284;0.164;0.574;-0.0615;-1;-1;-1
14360;14360696;6386144;8439776;-0.052;1.044;-0.276;0.164;0.492;-0.123;-1;-1;-1
14372;14373736;6383584;8439776;-0.06;1.056;-0.288;0.1025;0.492;-0.1025;-1;-1;-1
14383;14383368;6378976;8439776;-0.06;1.048;-0.276;0.1845;0.451;-0.0205;-1;-1;-1
14395;14395568;6380000;8439264;-0.048;1.048;-0.288;0.1845;0.4715;-0.1025;-1;-1;-1
14407;14407768;6383072;8439264;-0.06;1.044;-0.268;0.2665;0.451;-0.164;-1;-1;-1
14419;14420856;6384096;8439264;-0.04;1.036;-0.28;0.123;0.5535;-0.0615;-1;-1;-1
14430;14430408;6378976;8439264;-0.06;1.052;-0.28;0.205;0.41;-0.205;-1;-1;-1
14442;14442632;6384096;8439264;-0.052;1.052;-0.288;0.164;0.4715;-0.123;-1;-1;-1
14454;14455688;6386656;8439264;-0.056;1.048;-0.292;0.1845;0.4305;-0.0615;-1;-1;-1
14465;14465296;6385120;8439264;-0.056;1.048;-0.28;0.164;0.4715;-0.123;-1;-1;-1
14477;14477456;6384096;8439264;-0.06;1.044;-0.264;0.246;0.451;-0.1025;-1;-1;-1
14489;14490464;6384096;8439264;-0.052;1.044;-0.272;0.0615;0.6355;-0.164;-1;-1;-1
14501;14502720;6386144;8439264;-0.048;1.048;-0.296;0.164;0.5125;-0.1025;-1;-1;-1
14512;14512304;6382560;8439264;-0.056;1.044;-0.264;0.2255;0.3895;-0.1845;-1;-1;-1
14524;14524472;6380000;8439264;-0.056;1.036;-0.272;0.205;0.4715;-0.1435;-1;-1;-1
14536;14537600;6384096;8439264;-0.06;1.06;-0.26;0.123;0.5945;-0.123;-1;-1;-1
14548;14549800;6386656;8439264;-0.056;1.06;-0.272;0.1435;0.533;-0.1435;-1;-1;-1
14559;14559376;6382048;8439264;-0.068;1.072;-0.296;0.1435;0.5535;-0.082;-1;-1;-1
14571;14572408;6381536;8439264;-0.052;1.044;-0.304;0.123;0.533;-0.1025;-1;-1;-1
14583;14584632;6383584;8439264;-0.06;1.056;-0.244;0.1845;0.451;0;-1;-1;-1
14594;14594224;6379488;8439264;-0.048;1.044;-0.304;0.2255;0.492;-0.1845;-1;-1;-1
14606;14606448;6381536;8438752;-0.06;1.056;-0.324;0.205;0.5125;-0.164;-1;-1;-1
14618;14618680;6380512;8438752;-0.064;1.056;-0.268;0.205;0.492;-0.0615;-1;-1;-1
