millis;gps_time;lat;lon;alt;sats;fixq
101341;144537;4757.79637N;01331.84184E;571.3;6;1
101447;144537;4757.79637N;01331.84181E;571.3;6;1
101556;144537;4757.79636N;01331.84182E;571.3;6;1
101662;144537;4757.79636N;01331.84183E;571.3;6;1
101734;144537;4757.79635N;01331.84178E;571.3;6;1
101840;144537;4757.79635N;01331.84174E;571.3;6;1
102025;144538;4757.79634N;01331.84171E;571.5;6;1
102150;144538;4757.79634N;01331.84170E;571.5;6;1
102266;144538;4757.79634N;01331.84170E;571.6;6;1
102336;144538;4757.79633N;01331.84160E;571.6;6;1
102520;144538;4757.79632N;01331.84165E;571.7;6;1
102629;144538;4757.79632N;01331.84154E;571.7;6;1
102744;144538;4757.79632N;01331.84154E;571.8;6;1
102813;144538;4757.79632N;01331.84150E;571.8;6;1
103143;144539;4757.79630N;01331.84155E;571.8;6;1
103301;144539;4757.79628N;01331.84152E;571.8;6;1
103372;144539;4757.79629N;01331.84148E;571.8;6;1
103479;144539;4757.79627N;01331.84148E;571.8;6;1
103550;144539;4757.79626N;01331.84145E;571.8;6;1
103657;144539;4757.79626N;01331.84141E;571.8;6;1
105377;144541;4757.79621N;01331.84115E;572.5;6;1
105549;144541;4757.79621N;01331.84113E;572.5;6;1
105619;144541;4757.79621N;01331.84111E;572.5;6;1
105725;144541;4757.79620N;01331.84109E;572.5;6;1
105834;144541;4757.79621N;01331.84104E;572.5;6;1
105906;144541;4757.79619N;01331.84108E;572.5;6;1
106012;144541;4757.79619N;01331.84099E;572.5;6;1
106448;144542;4757.79618N;01331.84097E;572.6;6;1
106688;144542;4757.79618N;01331.84088E;572.8;6;1
106813;144542;4757.79617N;01331.84093E;572.8;6;1
106883;144542;4757.79616N;01331.84088E;572.8;6;1
106991;144542;4757.79617N;01331.84090E;572.8;6;1
107212;144543;4757.79615N;01331.84088E;572.7;6;1
107282;144543;4757.79614N;01331.84084E;572.7;6;1
107354;144543;4757.79615N;01331.84082E;572.7;6;1
107425;144543;4757.79613N;01331.84082E;572.7;6;1
107540;144543;4757.79613N;01331.84082E;572.8;6;1
107710;144543;4757.79612N;01331.84083E;572.8;6;1
107780;144543;4757.79612N;01331.84086E;572.8;6;1
109856;144545;4757.79606N;01331.84064E;572.9;6;1
109981;144545;4757.79606N;01331.84063E;572.9;6;1
110417;144546;4757.79606N;01331.84056E;573;6;1
110489;144546;4757.79606N;01331.84049E;573;6;1
110596;144546;4757.79606N;01331.84050E;573;6;1
110704;144546;4757.79605N;01331.84049E;573;6;1
110811;144546;4757.79605N;01331.84044E;573;6;1
110925;144546;4757.79605N;01331.84044E;573.1;6;1
111110;144547;4757.79604N;01331.84037E;573.2;6;1
111282;144547;4757.79605N;01331.84032E;573.2;6;1
111388;144547;4757.79604N;01331.84028E;573.2;6;1
111495;144547;4757.79604N;01331.84024E;573.2;6;1
111609;144547;4757.79604N;01331.84024E;573.3;6;1
111681;144547;4757.79604N;01331.84015E;573.3;6;1
111751;144547;4757.79603N;01331.84014E;573.3;6;1
111865;144547;4757.79603N;01331.84014E;573.4;6;1
114827;144550;4757.79590N;01331.84030E;573.1;6;1
114898;144550;4757.79590N;01331.84036E;573.1;6;1
115005;144550;4757.79588N;01331.84043E;573.1;6;1
115333;144551;4757.79587N;01331.84042E;573;6;1
115404;144551;4757.79585N;01331.84048E;573;6;1
115519;144551;4757.79585N;01331.84048E;572.9;6;1
115689;144551;4757.79586N;01331.84045E;572.9;6;1
115798;144551;4757.79585N;01331.84046E;572.9;6;1
115904;144551;4757.79584N;01331.84054E;572.9;6;1
116019;144551;4757.79584N;01331.84054E;572.9;6;1
116312;144552;4757.79584N;01331.84052E;572.9;6;1
116482;144552;4757.79584N;01331.84048E;572.9;6;1
116660;144552;4757.79584N;01331.84051E;572.9;6;1
116768;144552;4757.79584N;01331.84047E;572.9;6;1
119891;144555;4757.79572N;01331.84114E;572.2;6;1
120391;144556;4757.79572N;01331.84120E;572.2;6;1
120461;144556;4757.79571N;01331.84120E;572.2;6;1
120532;144556;4757.79571N;01331.84124E;572.2;6;1
120719;144556;4757.79571N;01331.84123E;572.1;6;1
122996;144559;4757.79577N;01331.84063E;573.1;6;1
123166;144559;4757.79578N;01331.84063E;573.1;6;1
123308;144559;4757.79578N;01331.84058E;573.1;6;1
123414;144559;4757.79578N;01331.84057E;573.1;6;1
123521;144559;4757.79579N;01331.84047E;573.1;6;1
123637;144559;4757.79579N;01331.84047E;573.3;6;1
123707;144559;4757.79580N;01331.84049E;573.3;6;1
123813;144559;4757.79582N;01331.84038E;573.3;6;1
124899;144600;4757.79590N;01331.84003E;573.7;6;1
125155;144601;4757.79591N;01331.83994E;574.1;6;1
125327;144601;4757.79592N;01331.83992E;574.1;6;1
125396;144601;4757.79592N;01331.83991E;574.1;6;1
125503;144601;4757.79594N;01331.83985E;574.1;6;1
125575;144601;4757.79594N;01331.83983E;574.1;6;1
125681;144601;4757.79594N;01331.83983E;574.1;6;1
125790;144601;4757.79595N;01331.83977E;574.1;6;1
125896;144601;4757.79595N;01331.83974E;574.1;6;1
127436;144603;4757.79606N;01331.83918E;575.3;6;1
127563;144603;4757.79606N;01331.83913E;575.3;6;1
127670;144603;4757.79607N;01331.83912E;575.3;6;1
127776;144603;4757.79609N;01331.83906E;575.3;6;1
127848;144603;4757.79609N;01331.83897E;575.3;6;1
127954;144603;4757.79610N;01331.83893E;575.3;6;1
128317;144604;4757.79613N;01331.83884E;575.9;6;1
128389;144604;4757.79614N;01331.83876E;575.9;6;1
128495;144604;4757.79614N;01331.83869E;575.9;6;1
128602;144604;4757.79615N;01331.83868E;575.9;6;1
128788;144604;4757.79615N;01331.83864E;576.2;6;1
129699;144604;4757.79616N;01331.83864E;576.2;6;1
131909;144607;4757.79627N;01331.83773E;577.7;6;1
131979;144607;4757.79626N;01331.83783E;577.7;6;1
133138;144609;4757.79631N;01331.83750E;578.2;6;1
133341;144609;4757.79631N;01331.83745E;578.2;6;1
133455;144609;4757.79631N;01331.83745E;578.3;6;1
133525;144609;4757.79633N;01331.83739E;578.3;6;1
133634;144609;4757.79634N;01331.83738E;578.3;6;1
133740;144609;4757.79634N;01331.83734E;578.3;6;1
133812;144609;4757.79633N;01331.83737E;578.3;6;1
136210;144612;4757.79647N;01331.83680E;579.5;6;1
